### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
5 | 03.30 ~ 04.05 | 금 | 실과 | 2. 동식물과 함께하는 생활 | 동식물은 생활 속에서 다양하게 활용돼요. | 2/12 | 24~25 | 
5 | 03.30 ~ 04.05 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성장으로 변화하는 몸과 마음 알아보기 【보건교육】 | 1/8 | 24~25 | 
5 | 03.30 ~ 04.05 | 금 | 미술 | 2. 이미지를 읽어요 | 이미지가 나타내는 의미 이해하기 -2- | 3/6 | 12 | 
5 | 03.30 ~ 04.05 | 금 | 미술 | 2. 이미지를 읽어요 | 감정을 이미지로 표현하기 -1- | 4/6 | 13 | 
6 | 04.06 ~ 04.12 | 월 | 국어 | 1. 대화를 나누어요 | 배운 내용 마무리하기 | 13/13 | 66~69 | 
6 | 04.06 ~ 04.12 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 배울 내용 살펴보기 | 1/15 | 70~73 | 
6 | 04.06 ~ 04.12 | 월 | 영어 | 2. Do You Want Some Soup? | 문제를 풀며 학습한 내용 정리하기 | 7/7 | 34~35 | 
6 | 04.06 ~ 04.12 | 월 | 수학 | 2. 약수와 배수 | 약수를 알아볼까요 | 2/13 | 30~31 | 
6 | 04.06 ~ 04.12 | 월 | 자율·자치활동 | 생활안전 | 반려견과 안전하게 산책하는 방법 알아보기 【생활안전-신체활동 안전】 | 1/2 |  | 
6 | 04.06 ~ 04.12 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 새로운 기술을 동식물 자원에 활용하고 있어요. | 3/12 | 26~27 | 
6 | 04.06 ~ 04.12 | 화 | 도덕 | 2. 반성과 성찰로 성장하는 나 | 반성하며 깨달아요 【인성교육】 | 1/4 | 22~25 | 
6 | 04.06 ~ 04.12 | 화 | 과학 | 2. 빛의 성질 | 물체를 보기 위해서 무엇이 필요할까요 -2- | 3/13 | 40~43 | 
## TABLE 83 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
6 | 04.06 ~ 04.12 | 화 | 자율·자치활동 | 교통안전 | 어린이 보호구역 알아보기 【교통안전-보행자안전】 | 1/1 |  | 
6 | 04.06 ~ 04.12 | 화 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성 건강 알아보기 -1- 【양성평등교육, 보건교육】 | 2/8 | 26~27 | 
6 | 04.06 ~ 04.12 | 화 | 수학 | 2. 약수와 배수 | 배수를 알아볼까요 | 3/13 | 32~33 | 
6 | 04.06 ~ 04.12 | 화 | 음악 | 1. 도롱뇽 | 다장조의 음계를 익혀 다양한 방법으로 표현하며 노래 부르기 -1- | 1/2 | 18~19 | 
6 | 04.06 ~ 04.12 | 수 | 국어 | 2. 체험한 일을 글로 써요 | 시간 표현 이해하기 -1- | 2/15 | 74~80 | 
6 | 04.06 ~ 04.12 | 수 | 영어 | Culture 1 | 여러 나라의 식사 예절 -1- | 1/2 | 36~37 | 
6 | 04.06 ~ 04.12 | 수 | 수학 | 2. 약수와 배수 | 약수와 배수의 관계를 알아볼까요 | 4/13 | 34~35 | 
6 | 04.06 ~ 04.12 | 수 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성 건강 알아보기 -2- 【양성평등교육, 보건교육】 | 3/8 | 26~27 | 
6 | 04.06 ~ 04.12 | 수 | 과학 | 2. 빛의 성질 | 빛은 어떻게 나아갈까요 -1- | 4/13 | 44~47 | 
6 | 04.06 ~ 04.12 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 시간 표현 이해하기 -2- | 3/15 | 74~80 | 
